ID;CLASS;EVENTS
20074;0;2 6 9 12 15 18 20 24 27 30 33 36 39 42 45 48 51 54 55 58 62 64 69 72 75 78 81 84 87 90 93 96 99 102 105 108 110 112 117 120 123 126
20075;1;3 6 9 12 15 18 20 24 27 30 33 36 37 41 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 110 112 115 118 122 126
20076;0;3 6 9 12 15 18 20 23 27 30 33 36 39 42 45 48 51 54 55 58 63 66 69 72 73 78 81 84 87 90 92 94 98 102 105 108 111 114 117 120 123 126
20077;2;2 6 9 12 15 18 19 23 27 30 33 36 39 42 45 48 51 54 56 58 62 66 69 72 75 78 81 84 87 90 91 96 99 102 105 108 109 114 117 120 123 126
20078;0;1 6 9 12 15 18 20 24 27 30 33 36 37 42 45 48 51 54 55 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 110 113 115 119 123 126
20079;0;1 5 7 12 15 18 21 24 27 30 33 36 37 42 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 91 95 99 102 105 108 110 113 117 120 123 126
20080;1;1 4 8 12 15 18 21 24 27 30 33 36 39 42 45 48 51 54 56 59 61 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 110 112 117 120 123 126
20081;0;2 6 9 12 15 18 19 24 27 30 33 36 38 40 45 48 51 54 56 58 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 110 112 117 120 123 126
20082;0;3 6 9 12 15 18 19 24 27 30 33 36 37 42 45 48 51 54 56 58 63 66 69 72 74 78 81 84 87 90 91 95 99 102 105 108 110 114 117 120 123 126
20083;1;1 4 9 12 15 18 21 24 27 30 33 36 38 42 45 48 51 54 57 60 63 66 69 72 74 77 79 83 87 90 93 96 99 102 105 108 109 114 117 120 123 126
20084;0;2 5 7 12 15 18 20 22 25 30 33 36 38 42 45 48 51 54 55 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
20085;0;3 6 9 12 15 18 21 24 27 30 33 36 37 42 45 48 51 54 57 60 63 66 69 72 74 78 81 84 87 90 93 96 99 102 105 108 109 113 115 119 121 125
20086;0;1 5 9 12 15 18 19 22 27 30 33 36 38 41 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 109 113 117 120 123 126
20087;1;1 6 9 12 15 18 19 24 27 30 33 36 39 42 45 48 51 54 56 58 62 66 69 72 75 78 81 84 87 90 92 95 97 102 105 108 111 114 117 120 123 126
20088;2;2 4 9 12 15 18 19 23 25 30 33 36 39 42 45 48 51 54 56 60 63 66 69 72 74 76 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
20089;0;2 4 9 12 15 18 19 24 27 30 33 36 39 42 45 48 51 54 56 60 63 66 69 72 75 78 81 84 87 90 92 94 97 101 105 108 111 114 117 120 123 126
20090;0;3 6 9 12 15 18 21 24 27 30 33 36 38 41 45 48 51 54 55 60 63 66 69 72 73 77 79 82 87 90 93 96 99 102 105 108 110 114 117 120 123 126
20091;0;3 6 9 12 15 18 21 24 27 30 33 36 38 40 43 47 51 54 55 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 110 112 116 120 123 126
20092;1;3 6 9 12 15 18 19 24 27 30 33 36 38 41 45 48 51 54 55 60 63 66 69 72 75 78 81 84 87 90 92 94 98 102 105 108 109 114 117 120 123 126
20093;0;2 6 9 12 15 18 21 24 27 30 33 36 37 40 45 48 51 54 56 60 63 66 69 72 75 78 81 84 87 90 92 94 98 102 105 108 109 114 117 120 123 126
20094;0;1 5 9 12 15 18 19 23 26 30 33 36 39 42 45 48 51 54 56 58 63 66 69 72 75 78 81 84 87 90 91 96 99 102 105 108 111 114 117 120 123 126
20095;1;3 6 9 12 15 18 20 22 26 30 33 36 37 40 45 48 51 54 56 59 63 66 69 72 75 78 81 84 87 90 91 96 99 102 105 108 111 114 117 120 123 126
20096;0;2 6 9 12 15 18 20 24 27 30 33 36 37 40 45 48 51 54 57 60 63 66 69 72 74 77 79 84 87 90 93 96 99 102 105 108 109 114 117 120 123 126
20097;0;3 6 9 12 15 18 20 24 27 30 33 36 38 40 45 48 51 54 55 59 61 65 67 72 75 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
20098;2;1 4 7 11 15 18 21 24 27 30 33 36 39 42 45 48 51 54 57 60 63 66 69 72 74 76 80 84 87 90 92 96 99 102 105 108 111 114 117 120 123 126
20099;0;3 6 9 12 15 18 20 23 25 30 33 36 37 42 45 48 51 54 55 60 63 66 69 72 73 78 81 84 87 90 92 95 99 102 105 108 111 114 117 120 123 126
20100;1;1 6 9 12 15 18 20 24 27 30 33 36 38 41 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 109 112 115 119 123 126
20101;0;1 6 9 12 15 18 20 22 27 30 33 36 37 41 45 48 51 54 55 60 63 66 69 72 75 78 81 84 87 90 92 95 99 102 105 108 111 114 117 120 123 126
20102;0;2 4 8 12 15 18 21 24 27 30 33 36 38 42 45 48 51 54 55 59 61 66 69 72 75 78 81 84 87 90 91 96 99 102 105 108 111 114 117 120 123 126
20103;0;1 4 9 12 15 18 20 23 25 30 33 36 37 42 45 48 51 54 57 60 63 66 69 72 74 78 81 84 87 90 92 96 99 102 105 108 111 114 117 120 123 126
20104;1;2 6 9 12 15 18 19 23 26 30 33 36 37 42 45 48 51 54 57 60 63 66 69 72 74 78 81 84 87 90 93 96 99 102 105 108 109 112 117 120 123 126
20105;0;1 5 8 11 13 18 19 22 27 30 33 36 39 42 45 48 51 54 57 60 63 66 69 72 74 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
20106;0;1 6 9 12 15 18 20 24 27 30 33 36 37 41 44 48 51 54 56 58 61 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
20107;1;3 6 9 12 15 18 19 24 27 30 33 36 38 41 45 48 51 54 55 59 61 65 69 72 75 78 81 84 87 90 91 96 99 102 105 108 111 114 117 120 123 126
20108;2;2 6 9 12 15 18 19 23 25 29 31 36 37 41 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
20109;0;2 6 9 12 15 18 19 22 26 28 33 36 37 42 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 92 96 99 102 105 108 110 114 117 120 123 126
20110;0;3 6 9 12 15 18 20 24 27 30 33 36 37 40 43 47 51 54 57 60 63 66 69 72 73 78 81 84 87 90 92 95 99 102 105 108 111 114 117 120 123 126
20111;0;2 5 7 12 15 18 19 23 27 30 33 36 37 40 45 48 51 54 56 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
20112;1;1 6 9 12 15 18 19 23 25 30 33 36 37 42 45 48 51 54 56 60 63 66 69 72 74 77 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
20113;0;1 6 9 12 15 18 21 24 27 30 33 36 38 42 45 48 51 54 55 58 63 66 69 72 75 78 81 84 87 90 92 96 99 102 105 108 110 113 115 120 123 126
20114;0;2 6 9 12 15 18 20 22 26 30 33 36 37 42 45 48 51 54 55 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 109 113 117 120 123 126
20115;0;2 6 9 12 15 18 21 24 27 30 33 36 37 41 43 47 49 54 57 60 63 66 69 72 75 78 81 84 87 90 91 96 99 102 105 108 110 114 117 120 123 126
20116;1;1 6 9 12 15 18 19 24 27 30 33 36 37 42 45 48 51 54 56 59 61 66 69 72 75 78 81 84 87 90 92 95 99 102 105 108 111 114 117 120 123 126
20117;0;2 6 9 12 15 18 21 24 27 30 33 36 37 40 45 48 51 54 56 58 63 66 69 72 75 78 81 84 87 90 91 96 99 102 105 108 110 113 117 120 123 126
20118;0;3 6 9 12 15 18 20 22 26 30 33 36 37 42 45 48 51 54 56 58 63 66 69 72 75 78 81 84 87 90 91 96 99 102 105 108 110 114 117 120 123 126
20119;2;2 5 7 10 15 18 21 24 27 30 33 36 37 41 45 48 51 54 55 60 63 66 69 72 75 78 81 84 87 90 92 96 99 102 105 108 111 114 117 120 123 126
20120;1;2 6 9 12 15 18 19 24 27 30 33 36 37 41 45 48 51 54 57 60 63 66 69 72 74 78 81 84 87 90 92 94 97 102 105 108 111 114 117 120 123 126
20121;0;2 5 7 12 15 18 20 22 27 30 33 36 37 41 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 109 114 117 120 123 126
20122;0;2 4 9 12 15 18 19 23 25 30 33 36 39 42 45 48 51 54 57 60 63 66 69 72 74 78 81 84 87 90 92 96 99 102 105 108 109 114 117 120 123 126
20123;0;2 4 9 12 15 18 21 24 27 30 33 36 37 42 45 48 51 54 55 59 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 110 113 115 120 123 126
20124;1;3 6 9 12 15 18 19 23 26 30 33 36 39 42 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 92 94 98 102 105 108 109 112 117 120 123 126
20125;0;2 5 7 12 15 18 21 24 27 30 33 36 37 41 43 48 51 54 55 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 110 114 117 120 123 126
20126;0;3 6 9 12 15 18 21 24 27 30 33 36 38 41 43 47 49 54 55 58 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 110 114 117 120 123 126
20127;0;2 6 9 12 15 18 20 24 27 30 33 36 39 42 45 48 51 54 55 58 63 66 69 72 73 78 81 84 87 90 93 96 99 102 105 108 110 113 115 120 123 126
20128;1;1 5 9 12 15 18 19 24 27 30 33 36 38 42 45 48 51 54 57 60 63 66 69 72 74 78 81 84 87 90 93 96 99 102 105 108 109 112 116 120 123 126
20129;2;3 6 9 12 15 18 19 24 27 30 33 36 38 42 45 48 51 54 55 60 63 66 69 72 73 78 81 84 87 90 92 95 99 102 105 108 110 112 117 120 123 126
20130;0;2 6 9 12 15 18 20 24 27 30 33 36 37 40 45 48 51 54 56 60 63 66 69 72 75 78 81 84 87 90 92 96 99 102 105 108 109 112 117 120 123 126
20131;0;2 4 9 12 15 18 21 24 27 30 33 36 37 40 45 48 51 54 56 60 63 66 69 72 75 78 81 84 87 90 92 96 99 102 105 108 109 113 117 120 123 126
20132;1;1 6 9 12 15 18 19 24 27 30 33 36 38 41 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 91 95 98 102 105 108 109 114 117 120 123 126
20133;0;3 6 9 12 15 18 20 23 26 28 33 36 37 40 45 48 51 54 56 60 63 66 69 72 73 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
20134;0;3 6 9 12 15 18 20 23 27 30 33 36 37 40 45 48 51 54 56 58 62 66 69 72 75 78 81 84 87 90 91 96 99 102 105 108 111 114 117 120 123 126
20135;0;3 6 9 12 15 18 20 24 27 30 33 36 37 42 45 48 51 54 56 58 62 64 69 72 75 78 81 84 87 90 93 96 99 102 105 108 109 113 117 120 123 126
20136;1;1 6 9 12 15 18 21 24 27 30 33 36 38 41 45 48 51 54 55 60 63 66 69 72 73 78 81 84 87 90 92 95 97 102 105 108 111 114 117 120 123 126
20137;0;2 4 9 12 15 18 21 24 27 30 33 36 37 41 45 48 51 54 57 60 63 66 69 72 74 76 79 84 87 90 92 96 99 102 105 108 111 114 117 120 123 126
20138;0;3 6 9 12 15 18 19 23 26 28 33 36 38 40 45 48 51 54 55 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 110 114 117 120 123 126
20139;0;3 6 9 12 15 18 21 24 27 30 33 36 38 40 43 46 50 54 55 60 63 66 69 72 74 78 81 84 87 90 92 96 99 102 105 108 111 114 117 120 123 126
20140;2;1 6 9 12 15 18 19 24 27 30 33 36 38 40 45 48 51 54 55 59 63 66 69 72 75 78 81 84 87 90 92 96 99 102 105 108 110 114 117 120 123 126
20141;1;1 6 9 12 15 18 21 24 27 30 33 36 38 42 45 48 51 54 55 60 63 66 69 72 75 78 81 84 87 90 91 95 98 100 105 108 110 114 117 120 123 126
20142;0;3 6 9 12 15 18 21 24 27 30 33 36 37 42 45 48 51 54 57 60 63 66 69 72 74 78 81 84 87 90 91 95 97 102 105 108 110 112 116 120 123 126
20143;0;3 6 9 12 15 18 20 23 25 28 33 36 39 42 45 48 51 54 55 60 63 66 69 72 75 78 81 84 87 90 91 95 98 102 105 108 111 114 117 120 123 126
20144;1;3 6 9 12 15 18 19 22 26 29 31 36 39 42 45 48 51 54 56 60 63 66 69 72 73 77 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
20145;0;1 6 9 12 15 18 19 23 27 30 33 36 39 42 45 48 51 54 56 60 63 66 69 72 75 78 81 84 87 90 92 94 98 102 105 108 109 114 117 120 123 126
20146;0;3 6 9 12 15 18 21 24 27 30 33 36 37 41 44 46 51 54 57 60 63 66 69 72 75 78 81 84 87 90 92 94 99 102 105 108 109 113 117 120 123 126
20147;0;1 6 9 12 15 18 20 23 27 30 33 36 37 42 45 48 51 54 56 58 63 66 69 72 75 78 81 84 87 90 91 96 99 102 105 108 110 114 117 120 123 126
20148;1;2 6 9 12 15 18 19 24 27 30 33 36 37 42 45 48 51 54 56 59 61 65 69 72 75 78 81 84 87 90 93 96 99 102 105 108 109 114 117 120 123 126
20149;0;1 6 9 12 15 18 21 24 27 30 33 36 37 42 45 48 51 54 56 59 61 66 69 72 75 78 81 84 87 90 92 96 99 102 105 108 109 113 117 120 123 126
20150;2;1 6 9 12 15 18 20 22 26 30 33 36 38 40 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 110 112 117 120 123 126
20151;0;2 4 9 12 15 18 19 22 26 30 33 36 39 42 45 48 51 54 55 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 110 113 117 120 123 126
20152;0;1 6 9 12 15 18 21 24 27 30 33 36 38 40 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 110 112 116 118 122 126
20153;1;2 6 9 12 15 18 19 23 25 29 31 36 37 42 45 48 51 54 57 60 63 66 69 72 74 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
20154;0;2 6 9 12 15 18 21 24 27 30 33 36 37 42 45 48 51 54 56 58 62 66 69 72 75 78 81 84 87 90 91 94 99 102 105 108 110 114 117 120 123 126
20155;0;3 6 9 12 15 18 21 24 27 30 33 36 37 40 44 48 51 54 56 58 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 110 113 115 120 123 126
20156;1;3 6 9 12 15 18 19 23 27 30 33 36 37 42 45 48 51 54 57 60 63 66 69 72 74 78 81 84 87 90 92 95 99 102 105 108 109 112 117 120 123 126
20157;0;3 6 9 12 15 18 19 24 27 30 33 36 39 42 45 48 51 54 55 59 62 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 109 113 115 119 123 126
20158;0;3 6 9 12 15 18 19 22 27 30 33 36 39 42 45 48 51 54 57 60 63 66 69 72 74 76 79 83 87 90 92 95 99 102 105 108 111 114 117 120 123 126
20159;0;2 6 9 12 15 18 21 24 27 30 33 36 37 41 45 48 51 54 56 59 61 64 69 72 75 78 81 84 87 90 93 96 99 102 105 108 109 114 117 120 123 126
20160;1;1 4 9 12 15 18 21 24 27 30 33 36 38 40 44 48 51 54 57 60 63 66 69 72 74 78 81 84 87 90 93 96 99 102 105 108 109 113 117 120 123 126
20161;2;3 6 9 12 15 18 20 22 27 30 33 36 37 40 44 46 50 54 56 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
20162;0;2 4 8 10 15 18 19 22 27 30 33 36 39 42 45 48 51 54 56 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 110 114 117 120 123 126
20163;0;2 4 9 12 15 18 20 22 25 30 33 36 39 42 45 48 51 54 55 60 63 66 69 72 75 78 81 84 87 90 92 95 99 102 105 108 111 114 117 120 123 126
20164;0;1 6 9 12 15 18 19 23 27 30 33 36 38 40 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 109 113 116 120 123 126
20165;1;3 6 9 12 15 18 20 24 27 30 33 36 37 41 43 46 51 54 56 59 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 109 114 117 120 123 126
20166;0;2 5 7 12 15 18 20 24 27 30 33 36 37 42 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 91 95 99 102 105 108 109 114 117 120 123 126
20167;0;3 6 9 12 15 18 19 24 27 30 33 36 37 41 43 48 51 54 56 58 62 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 110 114 117 120 123 126
20168;1;3 6 9 12 15 18 19 23 27 30 33 36 38 40 44 48 51 54 56 60 63 66 69 72 75 78 81 84 87 90 91 96 99 102 105 108 109 114 117 120 123 126
20169;0;2 6 9 12 15 18 19 23 25 29 33 36 39 42 45 48 51 54 56 58 61 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
20170;0;1 6 9 12 15 18 20 24 27 30 33 36 38 42 45 48 51 54 55 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 110 112 116 118 123 126
20171;2;2 4 7 12 15 18 21 24 27 30 33 36 37 42 45 48 51 54 56 60 63 66 69 72 74 78 81 84 87 90 91 95 99 102 105 108 111 114 117 120 123 126
20172;0;2 5 9 12 15 18 20 22 25 29 33 36 39 42 45 48 51 54 55 60 63 66 69 72 75 78 81 84 87 90 91 96 99 102 105 108 111 114 117 120 123 126
20173;1;2 4 7 12 15 18 19 23 26 30 33 36 37 42 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 92 96 99 102 105 108 111 114 117 120 123 126
20174;0;3 6 9 12 15 18 19 22 27 30 33 36 37 42 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 92 95 98 100 104 108 111 114 117 120 123 126
20175;0;2 4 8 11 15 18 19 24 27 30 33 36 38 42 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 109 112 117 120 123 126
20176;0;2 6 9 12 15 18 21 24 27 30 33 36 38 40 45 48 51 54 55 58 63 66 69 72 74 78 81 84 87 90 91 95 99 102 105 108 111 114 117 120 123 126
20177;1;2 6 9 12 15 18 19 24 27 30 33 36 37 40 44 47 51 54 57 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 110 112 117 120 123 126
20178;0;3 6 9 12 15 18 19 24 27 30 33 36 38 41 43 47 51 54 55 59 61 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
20179;0;1 5 8 10 15 18 21 24 27 30 33 36 39 42 45 48 51 54 55 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 109 113 116 120 123 126
20180;1;2 4 9 12 15 18 20 23 27 30 33 36 37 40 44 48 51 54 55 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
20181;0;2 4 9 12 15 18 20 23 27 30 33 36 37 42 45 48 51 54 55 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 109 113 117 120 123 126
20182;2;1 5 9 12 15 18 21 24 27 30 33 36 37 41 44 46 51 54 57 60 63 66 69 72 75 78 81 84 87 90 92 96 99 102 105 108 109 114 117 120 123 126
20183;0;1 5 7 10 15 18 20 22 27 30 33 36 39 42 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 92 96 99 102 105 108 110 114 117 120 123 126
20184;0;2 4 7 12 15 18 20 24 27 30 33 36 37 42 45 48 51 54 57 60 63 66 69 72 74 78 81 84 87 90 91 95 99 102 105 108 111 114 117 120 123 126
20185;1;1 5 7 12 15 18 20 23 27 30 33 36 37 42 45 48 51 54 56 60 63 66 69 72 73 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
20186;0;1 4 8 11 13 18 21 24 27 30 33 36 39 42 45 48 51 54 57 60 63 66 69 72 74 78 81 84 87 90 93 96 99 102 105 108 110 112 117 120 123 126
20187;0;2 4 7 11 14 18 21 24 27 30 33 36 39 42 45 48 51 54 55 59 61 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
20188;0;2 5 7 12 15 18 19 23 25 30 33 36 39 42 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 109 113 117 120 123 126
20189;1;1 6 9 12 15 18 21 24 27 30 33 36 38 42 45 48 51 54 55 59 61 65 68 70 75 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
20190;0;1 6 9 12 15 18 19 23 27 30 33 36 39 42 45 48 51 54 56 58 61 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 110 113 117 120 123 126
20191;0;1 4 8 10 15 18 21 24 27 30 33 36 38 42 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 92 94 99 102 105 108 110 114 117 120 123 126
20192;2;1 5 8 10 14 16 21 24 27 30 33 36 37 41 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
20193;0;3 6 9 12 15 18 19 23 26 30 33 36 39 42 45 48 51 54 56 58 61 66 69 72 75 78 81 84 87 90 92 94 99 102 105 108 111 114 117 120 123 126
20194;1;3 6 9 12 15 18 19 22 26 30 33 36 38 40 44 47 51 54 55 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
20195;0;2 6 9 12 15 18 21 24 27 30 33 36 37 40 45 48 51 54 57 60 63 66 69 72 74 78 81 84 87 90 91 95 99 102 105 108 109 113 117 120 123 126
20196;0;2 6 9 12 15 18 20 22 27 30 33 36 37 41 43 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 91 96 99 102 105 108 110 114 117 120 123 126
20197;1;1 4 9 12 15 18 19 23 27 30 33 36 38 41 45 48 51 54 56 60 63 66 69 72 75 78 81 84 87 90 91 96 99 102 105 108 111 114 117 120 123 126
20198;0;3 6 9 12 15 18 19 23 27 30 33 36 37 40 44 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 92 96 99 102 105 108 109 113 117 120 123 126
20199;0;3 6 9 12 15 18 20 24 27 30 33 36 37 42 45 48 51 54 55 58 63 66 69 72 75 78 81 84 87 90 92 94 99 102 105 108 110 113 117 120 123 126
20200;0;3 6 9 12 15 18 21 24 27 30 33 36 37 41 45 48 51 54 56 60 63 66 69 72 74 76 79 83 85 90 93 96 99 102 105 108 111 114 117 120 123 126
20201;1;3 6 9 12 15 18 19 24 27 30 33 36 37 41 44 47 49 54 57 60 63 66 69 72 74 78 81 84 87 90 91 96 99 102 105 108 111 114 117 120 123 126
20202;0;2 5 7 10 15 18 19 24 27 30 33 36 39 42 45 48 51 54 56 60 63 66 69 72 74 78 81 84 87 90 91 96 99 102 105 108 111 114 117 120 123 126
20203;2;1 5 7 12 15 18 19 23 27 30 33 36 38 42 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 110 112 117 120 123 126
20204;0;2 4 9 12 15 18 21 24 27 30 33 36 37 41 43 48 51 54 56 60 63 66 69 72 73 78 81 84 87 90 93 96 99 102 105 108 110 114 117 120 123 126
20205;0;1 4 9 12 15 18 21 24 27 30 33 36 37 41 45 48 51 54 57 60 63 66 69 72 74 78 81 84 87 90 92 96 99 102 105 108 109 113 117 120 123 126
20206;1;3 6 9 12 15 18 19 24 27 30 33 36 38 40 44 48 51 54 55 59 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 109 113 117 120 123 126
20207;0;3 6 9 12 15 18 19 24 27 30 33 36 37 41 44 46 51 54 56 60 63 66 69 72 74 78 81 84 87 90 91 96 99 102 105 108 111 114 117 120 123 126
20208;0;3 6 9 12 15 18 19 24 27 30 33 36 37 42 45 48 51 54 56 60 63 66 69 72 74 78 81 84 87 90 91 96 99 102 105 108 110 113 115 120 123 126
20209;1;2 6 9 12 15 18 19 22 26 29 31 36 39 42 45 48 51 54 57 60 63 66 69 72 74 78 81 84 87 90 93 96 99 102 105 108 109 114 117 120 123 126
20210;0;2 4 8 12 15 18 21 24 27 30 33 36 37 42 45 48 51 54 56 58 63 66 69 72 75 78 81 84 87 90 92 94 99 102 105 108 111 114 117 120 123 126
20211;0;3 6 9 12 15 18 21 24 27 30 33 36 37 40 45 48 51 54 56 58 61 65 68 72 74 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
20212;0;3 6 9 12 15 18 20 22 27 30 33 36 37 40 45 48 51 54 56 60 63 66 69 72 73 77 81 84 87 90 93 96 99 102 105 108 110 114 117 120 123 126
20213;2;3 6 9 12 15 18 19 23 27 30 33 36 39 42 45 48 51 54 56 58 61 66 69 72 74 76 80 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
20214;1;1 4 9 12 15 18 21 24 27 30 33 36 37 42 45 48 51 54 56 59 63 66 69 72 75 78 81 84 87 90 91 96 99 102 105 108 110 113 117 120 123 126
20215;0;2 6 9 12 15 18 19 22 27 30 33 36 38 40 44 48 51 54 55 60 63 66 69 72 75 78 81 84 87 90 92 96 99 102 105 108 111 114 117 120 123 126
20216;0;1 4 8 12 15 18 21 24 27 30 33 36 39 42 45 48 51 54 56 59 61 64 69 72 75 78 81 84 87 90 92 96 99 102 105 108 111 114 117 120 123 126
20217;0;1 6 9 12 15 18 20 22 27 30 33 36 38 40 45 48 51 54 55 59 63 66 69 72 74 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
20218;1;1 6 9 12 15 18 21 24 27 30 33 36 38 41 45 48 51 54 55 60 63 66 69 72 73 76 80 84 87 90 92 96 99 102 105 108 111 114 117 120 123 126
20219;0;3 6 9 12 15 18 20 24 27 30 33 36 38 40 44 48 51 54 55 58 63 66 69 72 75 78 81 84 87 90 91 95 99 102 105 108 111 114 117 120 123 126
20220;0;3 6 9 12 15 18 20 24 27 30 33 36 37 41 45 48 51 54 57 60 63 66 69 72 74 76 81 84 87 90 91 96 99 102 105 108 109 113 117 120 123 126
20221;1;1 6 9 12 15 18 19 23 26 30 33 36 37 40 44 48 51 54 56 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
20222;0;3 6 9 12 15 18 20 24 27 30 33 36 37 41 45 48 51 54 56 58 63 66 69 72 75 78 81 84 87 90 91 95 97 102 105 108 111 114 117 120 123 126
20223;0;3 6 9 12 15 18 21 24 27 30 33 36 37 41 43 47 51 54 56 60 63 66 69 72 75 78 81 84 87 90 91 96 99 102 105 108 110 112 117 120 123 126
20224;2;2 5 9 12 15 18 19 24 27 30 33 36 39 42 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 109 113 115 119 121 126
20225;0;1 5 9 12 15 18 20 24 27 30 33 36 38 42 45 48 51 54 55 60 63 66 69 72 75 78 81 84 87 90 91 94 98 102 105 108 111 114 117 120 123 126
20226;1;1 6 9 12 15 18 20 23 27 30 33 36 37 42 45 48 51 54 55 59 61 65 69 72 75 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
20227;0;1 6 9 12 15 18 20 24 27 30 33 36 37 42 45 48 51 54 57 60 63 66 69 72 75 78 81 84 87 90 91 95 98 100 105 108 110 114 117 120 123 126
20228;0;2 4 8 11 13 17 21 24 27 30 33 36 37 42 45 48 51 54 55 60 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 111 114 117 120 123 126
20229;0;1 6 9 12 15 18 20 22 26 29 33 36 39 42 45 48 51 54 55 58 63 66 69 72 75 78 81 84 87 90 93 96 99 102 105 108 110 114 117 120 123 126
20230;1;3 6 9 12 15 18 19 22 27 30 33 36 38 42 45 48 51 54 55 59 63 66 69 72 74 78 81 84 87 90 91 95 99 102 105 108 111 114 117 120 123 126
